_id,keyword,related_word,count
ObjectId("5dfe043bbb4c32b3e94d52f3"),iphone,登录,3=2565&4=86&1=143
ObjectId("5dfe043bbb4c32b3e94d52f4"),iphone,连接,3=667&4=89&2=300&0=206
ObjectId("5dfe043bbb4c32b3e94d52f5"),iphone,qq,3=604840&4=87&0=559&1=718&2=599
ObjectId("5dfe043bbb4c32b3e94d52f6"),iphone,iphone8plus,3=1755&4=101&0=191&1=179&2=218
ObjectId("5dfe043bbb4c32b3e94d52f7"),iphone,下载,3=11724&4=98&1=239&0=192&2=202
ObjectId("5dfe043bbb4c32b3e94d52f8"),iphone,微信网页版,3=1096820&4=90&0=184&1=249&2=169
ObjectId("5dfe043bbb4c32b3e94d52f9"),iphone,腾讯,3=451855&4=103&2=262&0=227&1=255
ObjectId("5dfe043bbb4c32b3e94d52fa"),iphone,游戏,3=87481&4=102&0=211&1=244&2=240
ObjectId("5dfe043bbb4c32b3e94d52fb"),iphone,qq邮箱,3=2201897&4=90&0=340&1=441&2=343
ObjectId("5dfe043bbb4c32b3e94d52fc"),iphone,花瓣,3=290188&4=96&1=136
ObjectId("5dfe043bbb4c32b3e94d52fd"),iphone,iphonexi,3=612&4=87&2=141
ObjectId("5dfe043bbb4c32b3e94d52fe"),iphone,地图,3=665211&4=100&1=282&2=173&0=198
ObjectId("5dfe043bbb4c32b3e94d52ff"),iphone,iphoneid,3=141&4=94&2=156
ObjectId("5dfe043bbb4c32b3e94d5300"),iphone,查找,3=344&4=101&0=359&1=386&2=376
ObjectId("5dfe043bbb4c32b3e94d5301"),iphone,iphone 7,3=1549&4=89&1=347&0=341&2=368
ObjectId("5dfe043bbb4c32b3e94d5302"),iphone,苹果,3=112458&4=92&2=184&1=321&0=224
ObjectId("5dfe043bbb4c32b3e94d5303"),iphone,iphonexs,3=2806&4=99&2=474&0=329&1=193
ObjectId("5dfe043bbb4c32b3e94d5304"),iphone,iphone 8,3=2041&4=105&2=449&0=402&1=390
ObjectId("5dfe043bbb4c32b3e94d5305"),iphone,ios,3=18759&4=95&1=280&0=206&2=171
ObjectId("5dfe043bbb4c32b3e94d5306"),iphone,6s,3=2555&4=95&2=234&1=257&0=231
ObjectId("5dfe043bbb4c32b3e94d5307"),iphone,浏览,3=611&4=92&1=138
ObjectId("5dfe043bbb4c32b3e94d5308"),iphone,iphone8p,3=870&4=100&2=154&0=121
ObjectId("5dfe043bbb4c32b3e94d5309"),iphone,iphone6,3=1924&4=102&1=226&2=306&0=257
ObjectId("5dfe043bbb4c32b3e94d530a"),iphone,iphone 6,3=769&4=81&0=220&2=259&1=198
ObjectId("5dfe043bbb4c32b3e94d530b"),iphone,e8p,3=0&4=0&0=121&2=154
ObjectId("5dfe043bbb4c32b3e94d530c"),iphone,apple,3=80392&4=109&2=766&1=432&0=570
ObjectId("5dfe043bbb4c32b3e94d530d"),iphone,iphone11,3=4065&4=122&2=453&0=295&1=136
ObjectId("5dfe043bbb4c32b3e94d530e"),iphone,itunes下载,3=16423&4=111&1=148&2=186&0=159
ObjectId("5dfe043bbb4c32b3e94d530f"),iphone,iphone se,3=1970&4=100&1=199&0=243&2=302
ObjectId("5dfe043bbb4c32b3e94d5310"),iphone,126,3=296715&4=93&0=136&1=199
ObjectId("5dfe043bbb4c32b3e94d5311"),iphone,xs,3=2352&4=98&0=1354&2=1818&1=992
ObjectId("5dfe043bbb4c32b3e94d5312"),iphone,iphonexsmax,3=1227&4=97&1=143&2=355&0=247
ObjectId("5dfe043bbb4c32b3e94d5313"),iphone,xr,3=5129&4=99&0=950&2=1164&1=829
ObjectId("5dfe043bbb4c32b3e94d5314"),iphone,中国,3=45220&4=95&0=143&1=196
ObjectId("5dfe043bbb4c32b3e94d5315"),iphone,iphone8 plus,3=707&4=99&2=196&0=137
ObjectId("5dfe043bbb4c32b3e94d5316"),iphone,iphone xs,3=3978&4=100&2=842&0=694&1=598
ObjectId("5dfe043bbb4c32b3e94d5317"),iphone,ipone,3=743&4=102&1=242
ObjectId("5dfe043bbb4c32b3e94d5318"),iphone,新品,3=341&4=107&0=312&1=151&2=478
ObjectId("5dfe043bbb4c32b3e94d5319"),iphone,助手,3=1768&4=105&0=122&2=162
ObjectId("5dfe043bbb4c32b3e94d531a"),iphone,知网,3=272546&4=85&2=137
ObjectId("5dfe043bbb4c32b3e94d531b"),iphone,cloud,3=2568&4=96&0=249&1=189&2=333
ObjectId("5dfe043bbb4c32b3e94d531c"),iphone,icloud,3=55057&4=96&0=221&2=290&1=173
ObjectId("5dfe043bbb4c32b3e94d531d"),iphone,ipad,3=29228&4=99&0=356&1=302&2=449
ObjectId("5dfe043bbb4c32b3e94d531e"),iphone,58同城,3=503568&4=101&1=150
ObjectId("5dfe043bbb4c32b3e94d531f"),iphone,iphone9,3=516&4=101&0=128&1=133
ObjectId("5dfe043bbb4c32b3e94d5320"),iphone,max,3=6955&4=103&1=476&0=679&2=930
ObjectId("5dfe043bbb4c32b3e94d5321"),iphone,iphone xs max,3=4019&4=80&0=524&1=431&2=653
ObjectId("5dfe043bbb4c32b3e94d5322"),iphone,尺寸,3=1177&4=97&2=266&0=157
ObjectId("5dfe043bbb4c32b3e94d5323"),iphone,微博,3=961386&4=95&1=153
ObjectId("5dfe043bbb4c32b3e94d5324"),iphone,查找我的iphone,3=6758&4=100&1=331&0=205
ObjectId("5dfe043bbb4c32b3e94d5325"),iphone,2019,3=12288&4=82&2=167
ObjectId("5dfe043bbb4c32b3e94d5326"),iphone,5s,3=2308&4=93&2=138
ObjectId("5dfe043bbb4c32b3e94d5327"),iphone,音乐,3=123922&4=103&1=183&0=152&2=161
ObjectId("5dfe043bbb4c32b3e94d5328"),iphone,iphone官网,3=2993&4=97&2=1024&1=217&0=627
ObjectId("5dfe043bbb4c32b3e94d5329"),iphone,plus,3=4203&4=121&2=1230&1=582&0=868
ObjectId("5dfe043bbb4c32b3e94d532a"),iphone,iphone已停用连接itunes,3=1551&4=100&2=233&0=164
ObjectId("5dfe043bbb4c32b3e94d532b"),iphone,直播,3=30053&4=101&2=198&1=163&0=162
ObjectId("5dfe043bbb4c32b3e94d532c"),iphone,阿里巴巴,3=334558&4=100&1=145
ObjectId("5dfe043bbb4c32b3e94d532d"),iphone,工具,3=2902&4=116&2=170
ObjectId("5dfe043bbb4c32b3e94d532e"),iphone,iphone 6s,3=1553&4=90&1=225&0=181&2=160
ObjectId("5dfe043bbb4c32b3e94d532f"),iphone,秀秀,3=344&4=80&1=184&0=121
ObjectId("5dfe043bbb4c32b3e94d5330"),iphone,iphone6s,3=1975&4=95&1=278&2=722&0=496
ObjectId("5dfe043bbb4c32b3e94d5331"),华为,旗舰,3=897&4=101&1=109&0=100&2=106
ObjectId("5dfe043bbb4c32b3e94d5332"),华为,p30,3=11946&4=93&1=1234&0=1217&2=1368
ObjectId("5dfe043bbb4c32b3e94d5333"),华为,华为p30pro,3=7294&4=90&1=129&2=214&0=165
ObjectId("5dfe043bbb4c32b3e94d5334"),华为,nove,3=194&4=97&0=118&1=151
ObjectId("5dfe043bbb4c32b3e94d5335"),华为,华为nova4,3=3554&4=73&0=151&1=192&2=131
ObjectId("5dfe043bbb4c32b3e94d5336"),华为,hu,3=69514&4=96&0=100&1=173
ObjectId("5dfe043bbb4c32b3e94d5337"),华为,服务,3=3563&4=104&2=153&0=138&1=153
ObjectId("5dfe043bbb4c32b3e94d5338"),华为,小米官网,3=50604&4=103&0=93&1=127
ObjectId("5dfe043bbb4c32b3e94d5339"),华为,浏览,3=611&4=92&1=144&2=137&0=125
ObjectId("5dfe043bbb4c32b3e94d533a"),华为,126,3=296715&4=93&2=106&1=142&0=110
ObjectId("5dfe043bbb4c32b3e94d533b"),华为,华为招聘,3=5621&4=96&2=147&0=98
ObjectId("5dfe043bbb4c32b3e94d533c"),华为,华为荣耀,3=4190&4=97&2=250&0=182&1=126
ObjectId("5dfe043bbb4c32b3e94d533d"),华为,苹果,3=112458&4=92&2=130&1=122&0=115
ObjectId("5dfe043bbb4c32b3e94d533e"),华为,虎牙,3=1285573&4=103&2=432&0=340&1=338
ObjectId("5dfe043bbb4c32b3e94d533f"),华为,京东,3=1294229&4=99&1=126&0=104&2=106
ObjectId("5dfe043bbb4c32b3e94d5340"),华为,华为官网,3=32462&4=95&2=618&1=429&0=495
ObjectId("5dfe043bbb4c32b3e94d5341"),华为,花瓣,3=290188&4=96&1=107
ObjectId("5dfe043bbb4c32b3e94d5342"),华为,20,3=4699&4=99&0=399&2=431&1=430
ObjectId("5dfe043bbb4c32b3e94d5343"),华为,网易,3=134799&4=97&2=156&1=171&0=145
