_id,keyword,prov,date,city,city_index
ObjectId("5dfde28b2cd928c393a795a5"),手机,901,2019-04-01|2019-04-30,366,85
ObjectId("5dfde28c2cd928c393a795a6"),手机,901,2019-05-01|2019-05-31,77,1000
ObjectId("5dfde28c2cd928c393a795a7"),手机,901,2019-05-01|2019-05-31,1,945
ObjectId("5dfde28c2cd928c393a795a8"),手机,901,2019-05-01|2019-05-31,79,506
ObjectId("5dfde28c2cd928c393a795a9"),手机,901,2019-05-01|2019-05-31,80,314
ObjectId("5dfde28c2cd928c393a795aa"),手机,901,2019-05-01|2019-05-31,352,218
ObjectId("5dfde28c2cd928c393a795ab"),手机,901,2019-05-01|2019-05-31,78,176
ObjectId("5dfde28c2cd928c393a795ac"),手机,901,2019-05-01|2019-05-31,76,169
ObjectId("5dfde28c2cd928c393a795ad"),手机,901,2019-05-01|2019-05-31,83,155
ObjectId("5dfde28c2cd928c393a795ae"),手机,901,2019-05-01|2019-05-31,84,155
ObjectId("5dfde28c2cd928c393a795af"),手机,901,2019-05-01|2019-05-31,353,154
ObjectId("5dfde28c2cd928c393a795b0"),手机,901,2019-05-01|2019-05-31,85,118
ObjectId("5dfde28c2cd928c393a795b1"),手机,901,2019-05-01|2019-05-31,86,117
ObjectId("5dfde28c2cd928c393a795b2"),手机,901,2019-05-01|2019-05-31,81,116
ObjectId("5dfde28c2cd928c393a795b3"),手机,901,2019-05-01|2019-05-31,88,98
ObjectId("5dfde28c2cd928c393a795b4"),手机,901,2019-05-01|2019-05-31,366,79
ObjectId("5dfde28c2cd928c393a795b5"),手机,901,2019-06-01|2019-06-30,77,1000
ObjectId("5dfde28c2cd928c393a795b6"),手机,901,2019-06-01|2019-06-30,1,737
ObjectId("5dfde28c2cd928c393a795b7"),手机,901,2019-06-01|2019-06-30,79,548
ObjectId("5dfde28c2cd928c393a795b8"),手机,901,2019-06-01|2019-06-30,80,282
ObjectId("5dfde28c2cd928c393a795b9"),手机,901,2019-06-01|2019-06-30,84,207
ObjectId("5dfde28c2cd928c393a795ba"),手机,901,2019-06-01|2019-06-30,352,181
ObjectId("5dfde28c2cd928c393a795bb"),手机,901,2019-06-01|2019-06-30,78,166
ObjectId("5dfde28c2cd928c393a795bc"),手机,901,2019-06-01|2019-06-30,353,151
ObjectId("5dfde28c2cd928c393a795bd"),手机,901,2019-06-01|2019-06-30,83,143
ObjectId("5dfde28c2cd928c393a795be"),手机,901,2019-06-01|2019-06-30,76,121
ObjectId("5dfde28c2cd928c393a795bf"),手机,901,2019-06-01|2019-06-30,81,111
ObjectId("5dfde28c2cd928c393a795c0"),手机,901,2019-06-01|2019-06-30,86,111
ObjectId("5dfde28c2cd928c393a795c1"),手机,901,2019-06-01|2019-06-30,85,99
ObjectId("5dfde28c2cd928c393a795c2"),手机,901,2019-06-01|2019-06-30,88,80
ObjectId("5dfde28c2cd928c393a795c3"),手机,901,2019-06-01|2019-06-30,366,72
ObjectId("5dfde28c2cd928c393a795c4"),手机,902,2019-01-01|2019-01-31,2,1000
ObjectId("5dfde28c2cd928c393a795c5"),手机,902,2019-01-01|2019-01-31,59,479
ObjectId("5dfde28c2cd928c393a795c6"),手机,902,2019-01-01|2019-01-31,426,396
ObjectId("5dfde28c2cd928c393a795c7"),手机,902,2019-01-01|2019-01-31,61,250
ObjectId("5dfde28c2cd928c393a795c8"),手机,902,2019-01-01|2019-01-31,3,134
ObjectId("5dfde28c2cd928c393a795c9"),手机,902,2019-01-01|2019-01-31,422,100
