_id,keyword,date,prov,prov_index
ObjectId("5dfdfe91fea717a2d0d05d01"),荣耀,2019-02-01|2019-02-28,934,1
ObjectId("5dfdfe91fea717a2d0d05d02"),荣耀,2019-03-01|2019-03-31,934,1
ObjectId("5dfdfe92fea717a2d0d05d03"),荣耀,2019-04-01|2019-04-30,934,1
ObjectId("5dfdfe92fea717a2d0d05d04"),荣耀,2019-05-01|2019-05-31,931,1
ObjectId("5dfdfe93fea717a2d0d05d05"),荣耀,2019-06-01|2019-06-30,934,1
ObjectId("5dfdfe93fea717a2d0d05d06"),荣耀,2019-07-01|2019-07-31,931,1
ObjectId("5dfdfe93fea717a2d0d05d07"),荣耀,2019-08-01|2019-08-31,934,1
ObjectId("5dfdfe94fea717a2d0d05d08"),荣耀,2019-09-01|2019-09-30,931,1
ObjectId("5dfdfe95fea717a2d0d05d09"),荣耀,2019-10-01|2019-10-31,931,0
ObjectId("5dfdfe96fea717a2d0d05d0a"),荣耀,2019-11-01|2019-11-30,934,1
ObjectId("5dfdfe97fea717a2d0d05d0b"),三星,2019-01-01|2019-01-31,934,2
ObjectId("5dfdfe97fea717a2d0d05d0c"),三星,2019-02-01|2019-02-28,934,2
ObjectId("5dfdfe98fea717a2d0d05d0d"),三星,2019-03-01|2019-03-31,934,2
ObjectId("5dfdfe98fea717a2d0d05d0e"),三星,2019-04-01|2019-04-30,934,2
ObjectId("5dfdfe98fea717a2d0d05d0f"),三星,2019-05-01|2019-05-31,934,2
ObjectId("5dfdfe99fea717a2d0d05d10"),三星,2019-06-01|2019-06-30,934,1
ObjectId("5dfdfe99fea717a2d0d05d11"),三星,2019-07-01|2019-07-31,934,2
ObjectId("5dfdfe9afea717a2d0d05d12"),三星,2019-08-01|2019-08-31,934,2
ObjectId("5dfdfe9afea717a2d0d05d13"),三星,2019-09-01|2019-09-30,934,2
ObjectId("5dfdfe9afea717a2d0d05d14"),三星,2019-10-01|2019-10-31,934,3
ObjectId("5dfdfe9bfea717a2d0d05d15"),三星,2019-11-01|2019-11-30,934,2
ObjectId("5dfdfe9bfea717a2d0d05d16"),魅族,2019-01-01|2019-01-31,934,1
ObjectId("5dfdfe9cfea717a2d0d05d17"),魅族,2019-02-01|2019-02-28,934,1
ObjectId("5dfdfe9cfea717a2d0d05d18"),魅族,2019-03-01|2019-03-31,934,1
ObjectId("5dfdfe9dfea717a2d0d05d19"),魅族,2019-04-01|2019-04-30,934,1
ObjectId("5dfdfe9efea717a2d0d05d1a"),魅族,2019-05-01|2019-05-31,934,1
ObjectId("5dfdfe9efea717a2d0d05d1b"),魅族,2019-06-01|2019-06-30,934,1
ObjectId("5dfdfe9ffea717a2d0d05d1c"),魅族,2019-07-01|2019-07-31,934,1
ObjectId("5dfdfe9ffea717a2d0d05d1d"),魅族,2019-08-01|2019-08-31,931,1
ObjectId("5dfdfe9ffea717a2d0d05d1e"),魅族,2019-09-01|2019-09-30,931,1
ObjectId("5dfdfea0fea717a2d0d05d1f"),魅族,2019-10-01|2019-10-31,934,1
ObjectId("5dfdfea0fea717a2d0d05d20"),魅族,2019-11-01|2019-11-30,934,0
ObjectId("5dfdfea1fea717a2d0d05d21"),诺基亚,2019-01-01|2019-01-31,934,2
ObjectId("5dfdfea1fea717a2d0d05d22"),诺基亚,2019-02-01|2019-02-28,934,1
ObjectId("5dfdfea1fea717a2d0d05d23"),诺基亚,2019-03-01|2019-03-31,934,2
ObjectId("5dfdfea2fea717a2d0d05d24"),诺基亚,2019-04-01|2019-04-30,934,1
ObjectId("5dfdfea2fea717a2d0d05d25"),诺基亚,2019-05-01|2019-05-31,931,1
ObjectId("5dfdfea3fea717a2d0d05d26"),诺基亚,2019-06-01|2019-06-30,931,1
ObjectId("5dfdfea3fea717a2d0d05d27"),诺基亚,2019-07-01|2019-07-31,934,1
ObjectId("5dfdfea3fea717a2d0d05d28"),诺基亚,2019-08-01|2019-08-31,934,1
ObjectId("5dfdfea4fea717a2d0d05d29"),诺基亚,2019-09-01|2019-09-30,931,1
ObjectId("5dfdfea4fea717a2d0d05d2a"),诺基亚,2019-10-01|2019-10-31,934,1
ObjectId("5dfdfea5fea717a2d0d05d2b"),诺基亚,2019-11-01|2019-11-30,931,1
ObjectId("5dfdfea5fea717a2d0d05d2c"),一加手机,2019-01-01|2019-01-31,934,1
ObjectId("5dfdfea5fea717a2d0d05d2d"),一加手机,2019-02-01|2019-02-28,934,0
ObjectId("5dfdfea6fea717a2d0d05d2e"),一加手机,2019-03-01|2019-03-31,934,1
ObjectId("5dfdfea6fea717a2d0d05d2f"),一加手机,2019-04-01|2019-04-30,934,1
ObjectId("5dfdfea6fea717a2d0d05d30"),一加手机,2019-05-01|2019-05-31,931,1
ObjectId("5dfdfea7fea717a2d0d05d31"),一加手机,2019-06-01|2019-06-30,931,1
ObjectId("5dfdfea7fea717a2d0d05d32"),一加手机,2019-07-01|2019-07-31,934,1
ObjectId("5dfdfea8fea717a2d0d05d33"),一加手机,2019-08-01|2019-08-31,934,1
